granule,date,datetime,flight_direction,relative_orbit,full_burst_id,subswath,polarization,platform
S1_045866_IW2_20220416T050910_VV_38A1-BURST,2022-04-16,2022-04-16 05:09:11,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220416T050913_VV_38A1-BURST,2022-04-16,2022-04-16 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220419T164427_VV_C5BE-BURST,2022-04-19,2022-04-19 16:44:28,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220426T163616_VV_9977-BURST,2022-04-26,2022-04-26 16:36:18,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220426T163619_VV_A920-BURST,2022-04-26,2022-04-26 16:36:20,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220428T050911_VV_C5F1-BURST,2022-04-28,2022-04-28 05:09:12,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220428T050913_VV_C5F1-BURST,2022-04-28,2022-04-28 05:09:14,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220501T164427_VV_BC4C-BURST,2022-05-01,2022-05-01 16:44:28,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220508T163617_VV_1E5C-BURST,2022-05-08,2022-05-08 16:36:18,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220508T163620_VV_C454-BURST,2022-05-08,2022-05-08 16:36:21,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220510T050911_VV_5684-BURST,2022-05-10,2022-05-10 05:09:12,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220510T050914_VV_5684-BURST,2022-05-10,2022-05-10 05:09:15,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220513T164428_VV_736A-BURST,2022-05-13,2022-05-13 16:44:29,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220520T163618_VV_A160-BURST,2022-05-20,2022-05-20 16:36:19,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220520T163620_VV_E86E-BURST,2022-05-20,2022-05-20 16:36:22,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220522T050912_VV_8706-BURST,2022-05-22,2022-05-22 05:09:13,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220522T050915_VV_8706-BURST,2022-05-22,2022-05-22 05:09:16,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220525T164429_VV_6B4C-BURST,2022-05-25,2022-05-25 16:44:30,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220601T163619_VV_0F9A-BURST,2022-06-01,2022-06-01 16:36:20,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220601T163622_VV_DA03-BURST,2022-06-01,2022-06-01 16:36:23,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220603T050913_VV_3AF4-BURST,2022-06-03,2022-06-03 05:09:14,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220603T050916_VV_3AF4-BURST,2022-06-03,2022-06-03 05:09:17,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220606T164430_VV_3C81-BURST,2022-06-06,2022-06-06 16:44:31,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220613T163620_VV_E438-BURST,2022-06-13,2022-06-13 16:36:21,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220613T163622_VV_0508-BURST,2022-06-13,2022-06-13 16:36:23,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220615T050914_VV_F752-BURST,2022-06-15,2022-06-15 05:09:15,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220615T050916_VV_F752-BURST,2022-06-15,2022-06-15 05:09:17,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220618T164431_VV_8D3F-BURST,2022-06-18,2022-06-18 16:44:32,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220625T163620_VV_D171-BURST,2022-06-25,2022-06-25 16:36:22,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220625T163623_VV_3EAA-BURST,2022-06-25,2022-06-25 16:36:24,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220627T050915_VV_E296-BURST,2022-06-27,2022-06-27 05:09:16,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220627T050917_VV_E296-BURST,2022-06-27,2022-06-27 05:09:18,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220630T164431_VV_3960-BURST,2022-06-30,2022-06-30 16:44:33,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220707T163621_VV_F340-BURST,2022-07-07,2022-07-07 16:36:22,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220707T163624_VV_C979-BURST,2022-07-07,2022-07-07 16:36:25,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220709T050915_VV_6A34-BURST,2022-07-09,2022-07-09 05:09:16,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220709T050918_VV_6A34-BURST,2022-07-09,2022-07-09 05:09:19,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220712T164432_VV_732D-BURST,2022-07-12,2022-07-12 16:44:33,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220719T163622_VV_0B0E-BURST,2022-07-19,2022-07-19 16:36:23,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220719T163625_VV_57B9-BURST,2022-07-19,2022-07-19 16:36:26,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220721T050916_VV_A745-BURST,2022-07-21,2022-07-21 05:09:17,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220721T050919_VV_A745-BURST,2022-07-21,2022-07-21 05:09:20,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220724T164433_VV_55A1-BURST,2022-07-24,2022-07-24 16:44:34,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220731T163623_VV_D3DA-BURST,2022-07-31,2022-07-31 16:36:24,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220731T163625_VV_3138-BURST,2022-07-31,2022-07-31 16:36:26,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220802T050917_VV_0913-BURST,2022-08-02,2022-08-02 05:09:18,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220802T050920_VV_0913-BURST,2022-08-02,2022-08-02 05:09:21,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220805T164434_VV_9E94-BURST,2022-08-05,2022-08-05 16:44:35,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220812T163623_VV_9DAF-BURST,2022-08-12,2022-08-12 16:36:24,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220812T163626_VV_9EFE-BURST,2022-08-12,2022-08-12 16:36:27,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220814T050918_VV_875C-BURST,2022-08-14,2022-08-14 05:09:19,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220814T050920_VV_875C-BURST,2022-08-14,2022-08-14 05:09:21,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220817T164434_VV_F99C-BURST,2022-08-17,2022-08-17 16:44:36,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220824T163624_VV_BC5C-BURST,2022-08-24,2022-08-24 16:36:25,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220824T163626_VV_AC21-BURST,2022-08-24,2022-08-24 16:36:28,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220826T050918_VV_9F78-BURST,2022-08-26,2022-08-26 05:09:19,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220826T050921_VV_9F78-BURST,2022-08-26,2022-08-26 05:09:22,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220829T164435_VV_4AE3-BURST,2022-08-29,2022-08-29 16:44:36,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220905T163625_VV_5F88-BURST,2022-09-05,2022-09-05 16:36:26,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220905T163627_VV_D916-BURST,2022-09-05,2022-09-05 16:36:29,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220907T050919_VV_3067-BURST,2022-09-07,2022-09-07 05:09:20,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220907T050922_VV_3067-BURST,2022-09-07,2022-09-07 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220910T164436_VV_AD7B-BURST,2022-09-10,2022-09-10 16:44:37,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220917T163625_VV_9135-BURST,2022-09-17,2022-09-17 16:36:26,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220917T163627_VV_499B-BURST,2022-09-17,2022-09-17 16:36:28,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20220919T050919_VV_9D42-BURST,2022-09-19,2022-09-19 05:09:20,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20220919T050921_VV_9D42-BURST,2022-09-19,2022-09-19 05:09:22,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20220922T164435_VV_F90A-BURST,2022-09-22,2022-09-22 16:44:36,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20220929T163625_VV_46CF-BURST,2022-09-29,2022-09-29 16:36:26,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20220929T163628_VV_3F0E-BURST,2022-09-29,2022-09-29 16:36:29,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20221001T050919_VV_CCBF-BURST,2022-10-01,2022-10-01 05:09:20,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20221001T050922_VV_CCBF-BURST,2022-10-01,2022-10-01 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20221004T164436_VV_FB03-BURST,2022-10-04,2022-10-04 16:44:37,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20221011T163625_VV_E412-BURST,2022-10-11,2022-10-11 16:36:26,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20221011T163628_VV_4729-BURST,2022-10-11,2022-10-11 16:36:29,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20221013T050919_VV_3079-BURST,2022-10-13,2022-10-13 05:09:20,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20221013T050922_VV_3079-BURST,2022-10-13,2022-10-13 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20221016T164436_VV_233B-BURST,2022-10-16,2022-10-16 16:44:37,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20221023T163625_VV_78E2-BURST,2022-10-23,2022-10-23 16:36:26,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20221023T163628_VV_2098-BURST,2022-10-23,2022-10-23 16:36:29,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20221025T050919_VV_A8B1-BURST,2022-10-25,2022-10-25 05:09:20,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20221025T050922_VV_A8B1-BURST,2022-10-25,2022-10-25 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20221028T164436_VV_9791-BURST,2022-10-28,2022-10-28 16:44:37,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20221104T163625_VV_DB20-BURST,2022-11-04,2022-11-04 16:36:26,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20221104T163627_VV_E4E4-BURST,2022-11-04,2022-11-04 16:36:29,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20221106T050919_VV_6D83-BURST,2022-11-06,2022-11-06 05:09:20,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20221106T050922_VV_6D83-BURST,2022-11-06,2022-11-06 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20221109T164435_VV_5725-BURST,2022-11-09,2022-11-09 16:44:36,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20221116T163624_VV_2067-BURST,2022-11-16,2022-11-16 16:36:26,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20221116T163627_VV_A79A-BURST,2022-11-16,2022-11-16 16:36:28,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20221118T050919_VV_697E-BURST,2022-11-18,2022-11-18 05:09:20,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20221118T050922_VV_697E-BURST,2022-11-18,2022-11-18 05:09:23,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20221121T164436_VV_8CA8-BURST,2022-11-21,2022-11-21 16:44:37,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20221128T163624_VV_B2C0-BURST,2022-11-28,2022-11-28 16:36:25,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20221128T163627_VV_039A-BURST,2022-11-28,2022-11-28 16:36:28,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20221130T050918_VV_67BE-BURST,2022-11-30,2022-11-30 05:09:19,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20221130T050921_VV_67BE-BURST,2022-11-30,2022-11-30 05:09:22,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20221203T164435_VV_140A-BURST,2022-12-03,2022-12-03 16:44:36,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20221210T163624_VV_067C-BURST,2022-12-10,2022-12-10 16:36:25,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20221210T163627_VV_461A-BURST,2022-12-10,2022-12-10 16:36:28,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20221212T050918_VV_621E-BURST,2022-12-12,2022-12-12 05:09:19,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20221212T050921_VV_621E-BURST,2022-12-12,2022-12-12 05:09:22,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20221215T164434_VV_2C9B-BURST,2022-12-15,2022-12-15 16:44:35,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20221222T163623_VV_99FD-BURST,2022-12-22,2022-12-22 16:36:24,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20221222T163626_VV_16DB-BURST,2022-12-22,2022-12-22 16:36:27,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20221224T050917_VV_BB69-BURST,2022-12-24,2022-12-24 05:09:18,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20221224T050920_VV_BB69-BURST,2022-12-24,2022-12-24 05:09:21,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20221227T164434_VV_0834-BURST,2022-12-27,2022-12-27 16:44:35,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20230103T163622_VV_76B1-BURST,2023-01-03,2023-01-03 16:36:24,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20230103T163625_VV_50D9-BURST,2023-01-03,2023-01-03 16:36:26,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20230105T050917_VV_7671-BURST,2023-01-05,2023-01-05 05:09:18,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230105T050919_VV_7671-BURST,2023-01-05,2023-01-05 05:09:20,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20230108T164433_VV_BF90-BURST,2023-01-08,2023-01-08 16:44:34,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20230115T163622_VV_4D1A-BURST,2023-01-15,2023-01-15 16:36:23,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20230115T163624_VV_5082-BURST,2023-01-15,2023-01-15 16:36:26,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20230117T050916_VV_DE99-BURST,2023-01-17,2023-01-17 05:09:17,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230117T050918_VV_DE99-BURST,2023-01-17,2023-01-17 05:09:20,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20230120T164432_VV_D849-BURST,2023-01-20,2023-01-20 16:44:33,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20230127T163622_VV_33F6-BURST,2023-01-27,2023-01-27 16:36:23,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
S1_374053_IW1_20230127T163624_VV_0C31-BURST,2023-01-27,2023-01-27 16:36:26,ASCENDING,175,175_374053_IW1,IW1,VV,SENTINEL-1A
S1_045866_IW2_20230129T050916_VV_B81B-BURST,2023-01-29,2023-01-29 05:09:17,DESCENDING,22,022_045866_IW2,IW2,VV,SENTINEL-1A
S1_045867_IW2_20230129T050919_VV_B81B-BURST,2023-01-29,2023-01-29 05:09:20,DESCENDING,22,022_045867_IW2,IW2,VV,SENTINEL-1A
S1_154962_IW2_20230201T164432_VV_FD87-BURST,2023-02-01,2023-02-01 16:44:33,ASCENDING,73,073_154962_IW2,IW2,VV,SENTINEL-1A
S1_374052_IW1_20230208T163621_VV_557E-BURST,2023-02-08,2023-02-08 16:36:22,ASCENDING,175,175_374052_IW1,IW1,VV,SENTINEL-1A
